CTestTraceline, DT_TestTraceline
CEnvParticleScript, DT_EnvParticleScript
CFogController, DT_FogController
CEnvDOFController, DT_EnvDOFController
CCascadeLight, DT_CascadeLight
CEnvAmbientLight, DT_EnvAmbientLight
CEntityParticleTrail, DT_EntityParticleTrail
CEntityFreezing, DT_EntityFreezing
CEntityFlame, DT_EntityFlame
CEntityDissolve, DT_EntityDissolve
CDynamicLight, DT_DynamicLight
CColorCorrectionVolume, DT_ColorCorrectionVolume
CColorCorrection, DT_ColorCorrection
CBreakableProp, DT_BreakableProp
CBeamSpotlight, DT_BeamSpotlight
CBaseButton, DT_BaseButton
CBaseToggle, DT_BaseToggle
CBasePlayer, DT_BasePlayer
CBaseFlex, DT_BaseFlex
CBaseEntity, DT_BaseEntity
CBaseDoor, DT_BaseDoor
CBaseCombatCharacter, DT_BaseCombatCharacter
CBaseAnimatingOverlay, DT_BaseAnimatingOverlay
CBoneFollower, DT_BoneFollower
CBaseAnimating, DT_BaseAnimating
CAI_BaseNPC, DT_AI_BaseNPC
CBeam, DT_Beam
CBaseViewModel, DT_BaseViewModel
CBaseParticleEntity, DT_BaseParticleEntity
CBaseGrenade, DT_BaseGrenade
CBaseCombatWeapon, DT_BaseCombatWeapon
CBaseWeaponWorldModel, DT_BaseWeaponWorldModel
